iter	Passed	Remaining
781	3790	1056
782	3798	1052
783	3802	1047
784	3805	1042
785	3812	1038
786	3815	1032
787	3818	1027
788	3820	1021
789	3825	1017
790	3829	1011
791	3832	1006
792	3834	1001
793	3837	995
794	3842	990
795	3844	985
796	3853	981
797	3857	976
798	3860	971
799	3863	965
800	3866	960
801	3870	955
802	3872	950
803	3875	944
804	3878	939
805	3883	934
806	3886	929
807	3888	924
808	3891	918
809	3894	913
810	3900	908
811	3903	903
812	3906	898
813	3908	893
814	3914	888
815	3917	883
816	3919	878
817	3922	872
818	3925	867
819	3930	862
820	3933	857
821	3936	852
822	3939	847
823	3945	842
824	3947	837
825	3950	832
826	3953	827
827	3957	822
828	3961	817
829	3964	812
830	3967	806
831	3971	801
832	3975	796
833	3978	791
834	3982	786
835	3985	781
836	3991	777
837	3994	772
838	3997	767
839	3999	761
840	4004	757
841	4007	752
842	4010	746
843	4012	741
844	4015	736
845	4020	731
846	4023	726
847	4026	721
848	4029	716
849	4035	712
850	4039	707
851	4042	702
852	4045	697
853	4052	692
854	4055	687
855	4059	682
856	4066	678
857	4070	673
858	4073	668
859	4075	663
860	4081	658
861	4084	653
862	4087	648
863	4089	643
864	4093	638
865	4097	634
866	4100	628
867	4102	623
868	4105	618
869	4111	614
870	4114	609
871	4117	604
872	4119	599
873	4122	594
874	4128	589
875	4131	584
876	4135	580
877	4139	575
878	4143	570
879	4146	565
880	4149	560
881	4152	555
882	4157	550
883	4159	545
884	4162	540
885	4164	535
886	4167	530
887	4171	526
888	4174	521
889	4176	516
890	4179	511
891	4181	506
892	4185	501
893	4188	496
894	4190	491
895	4192	486
896	4195	481
897	4197	476
898	4205	472
899	4207	467
900	4210	462
901	4212	457
902	4217	453
903	4220	448
904	4223	443
905	4226	438
906	4228	433
907	4234	429
908	4237	424
909	4240	419
910	4243	414
911	4249	410
912	4252	405
913	4255	400
914	4258	395
915	4263	390
916	4267	386
917	4270	381
918	4272	376
919	4277	371
920	4280	367
921	4283	362
922	4285	357
923	4288	352
924	4292	348
925	4296	343
926	4299	338
927	4301	333
928	4304	328
929	4309	324
930	4312	319
931	4314	314
932	4317	310
933	4320	305
934	4325	300
935	4327	295
936	4330	291
937	4332	286
938	4335	281
939	4340	277
940	4343	272
941	4346	267
942	4349	262
943	4358	258
944	4360	253
945	4362	249
946	4365	244
947	4370	239
948	4373	235
949	4376	230
950	4379	225
951	4383	221
952	4387	216
953	4390	211
954	4393	207
955	4396	202
956	4402	197
957	4404	193
958	4407	188
959	4410	183
960	4415	179
961	4418	174
962	4421	169
963	4424	165
964	4427	160
965	4432	156
966	4435	151
967	4437	146
968	4440	142
969	4445	137
970	4447	132
971	4450	128
972	4452	123
973	4455	118
974	4460	114
975	4463	109
976	4465	105
977	4467	100
978	4470	95
979	4474	91
980	4477	86
981	4479	82
982	4482	77
983	4484	72
984	4489	68
985	4492	63
986	4494	59
987	4496	54
988	4499	50
989	4502	45
990	4506	40
991	4508	36
992	4510	31
993	4513	27
994	4515	22
995	4521	18
996	4523	13
997	4526	9
998	4528	4
999	4530	0
